id,skill_name,skill_book_id,skill_book_name,profession,level,type,effect,power,cost,cool_down,is_active,created_at,updated_at
1,疗伤术,1,百草诀,医修,1,主动,治疗单体，恢复80%攻击力的生命值,-,10,1,1,2026-04-27,2026-04-27
2,草木皆兵,1,百草诀,医修,1,主动,单体攻击，造成65%攻击力的木属性伤害,0.65,8,1,1,2026-04-27,2026-04-27
3,甘露术,1,百草诀,医修,2,主动,治疗单体，恢复95%攻击力的生命值，20%概率解除一个负面状态,-,12,2,1,2026-04-27,2026-04-27
4,毒藤缠绕,1,百草诀,医修,2,主动,单体攻击，造成75%攻击力的木属性伤害，15%概率使目标中毒,0.75,10,2,1,2026-04-27,2026-04-27
5,草木护体,1,百草诀,医修,2,受击型,受到攻击时15%概率触发，回复3%最大生命值,-,5,0,0,2026-04-27,2026-04-27
6,百花解毒,1,百草诀,医修,3,主动,治疗全体队友，解除所有中毒状态，回复40%攻击力的生命,-,20,3,1,2026-04-27,2026-04-27
7,万木逢春,1,百草诀,医修,3,主动,治疗单体，恢复120%攻击力的生命值，若目标生命低于30%则效果翻倍,-,18,3,1,2026-04-27,2026-04-27
8,寄生毒,1,百草诀,医修,3,战斗型被动,攻击时20%概率使目标中毒，每回合损失8%攻击力，持续2回合,-,0,0,0,2026-04-27,2026-04-27
9,医者仁心,1,百草诀,医修,3,战斗型被动,治疗效果+10%，对生命值低于50%的目标治疗效果额外+5%,-,0,0,0,2026-04-27,2026-04-27
10,生死人肉白骨,1,百草诀,医修,4,主动,治疗单体，恢复150%攻击力的生命值，30%概率额外回复一个负面状态,-,25,4,1,2026-04-27,2026-04-27
11,神农本草,1,百草诀,医修,4,主动,全体队友获得10%最大生命值的护盾，持续2回合,-,22,3,1,2026-04-27,2026-04-27
12,药理精通,1,百草诀,医修,4,属性型被动,所有治疗效果+12%,-,0,0,0,2026-04-27,2026-04-27
13,百草纲目,1,百草诀,医修,4,属性型被动,每次升级时额外获得+1神识,-,0,0,0,2026-04-27,2026-04-27
14,天医下凡,1,百草诀,医修,5,特殊,消耗30%法力，全体队友立即恢复40%生命，下回合开始每回合回复10%生命，持续2回合,-,30,5,1,2026-04-27,2026-04-27
15,济世救人,1,百草诀,医修,5,特殊,牺牲25%当前生命，复活一个已死亡的队友，恢复其40%生命,-,0,5,1,2026-04-27,2026-04-27
16,剑气,2,青锋剑谱,剑修,1,主动,单体攻击，造成70%攻击力的物理伤害,0.7,8,1,1,2026-04-27,2026-04-27
17,剑影,2,青锋剑谱,剑修,1,主动,单体攻击，造成65%攻击力的物理伤害，20%概率减速,0.65,9,1,1,2026-04-27,2026-04-27
18,剑舞,2,青锋剑谱,剑修,1,主动,单体攻击，造成68%攻击力的物理伤害，15%概率流血,0.68,8,1,1,2026-04-27,2026-04-27
19,御剑术,2,青锋剑谱,剑修,2,主动,远程攻击单体，造成85%攻击力的物理伤害,0.85,12,2,1,2026-04-27,2026-04-27
20,剑阵基础,2,青锋剑谱,剑修,2,受击型,受击时8%概率触发剑阵，反弹20%伤害,-,6,0,0,2026-04-27,2026-04-27
21,剑意,2,青锋剑谱,剑修,2,战斗型被动,每次攻击+3%伤害，最高叠加4层,-,0,0,0,2026-04-27,2026-04-27
22,剑气纵横,2,青锋剑谱,剑修,3,主动,攻击目标及周围1格，造成78%攻击力伤害,0.78,15,2,1,2026-04-27,2026-04-27
23,剑影重重,2,青锋剑谱,剑修,3,主动,连续攻击2次，每次造成55%攻击力伤害,0.55×2,14,3,1,2026-04-27,2026-04-27
24,护体剑气,2,青锋剑谱,剑修,3,受击型,受击时减少15%伤害，8%概率反击,-,8,0,0,2026-04-27,2026-04-27
25,剑心通明,2,青锋剑谱,剑修,3,战斗型被动,暴击率+10%，暴击伤害+15%,-,0,0,0,2026-04-27,2026-04-27
26,万剑归宗,2,青锋剑谱,剑修,4,主动,远程攻击单体，造成110%攻击力的物理伤害,1.1,20,3,1,2026-04-27,2026-04-27
27,剑意凌霄,2,青锋剑谱,剑修,4,主动,攻击单体，造成100%伤害，35%概率眩晕1回合,1.0,18,3,1,2026-04-27,2026-04-27
28,先天罡气,2,青锋剑谱,剑修,4,受击型,受击时减少20%伤害，反弹18%伤害,-,10,0,0,2026-04-27,2026-04-27
29,剑神降临,2,青锋剑谱,剑修,4,战斗型被动,每回合首次攻击伤害+20%，无视15%防御,-,0,0,0,2026-04-27,2026-04-27
30,剑道通神,2,青锋剑谱,剑修,5,特殊,消耗40%法力，下回合攻击力翻倍，暴击率+40%,-,40,5,1,2026-04-27,2026-04-27
31,万剑齐发,2,青锋剑谱,剑修,5,主动,攻击区域内所有敌人，每把剑造成75%攻击力伤害,0.75×剑数,25,4,1,2026-04-27,2026-04-27
