id,skill_book_name,profession,quality,main_spirit,main_attr1,main_attr2,position,description,level,root_bone,body,understanding,qi_sense,spirit,speed,created_at,updated_at
1,百草诀,医修,黄阶下品,木灵根,神识,体魄,治疗、净化、辅助,以救人济世为核心，技能以治疗和辅助为主，兼具一定的自我保护能力,1,1,2,1,1,2,1,2026-04-27,2026-04-27
1,百草诀,医修,黄阶下品,木灵根,神识,体魄,治疗、净化、辅助,以救人济世为核心，技能以治疗和辅助为主，兼具一定的自我保护能力,2,2,3,1,2,3,1,2026-04-27,2026-04-27
1,百草诀,医修,黄阶下品,木灵根,神识,体魄,治疗、净化、辅助,以救人济世为核心，技能以治疗和辅助为主，兼具一定的自我保护能力,3,2,4,2,2,4,2,2026-04-27,2026-04-27
1,百草诀,医修,黄阶下品,木灵根,神识,体魄,治疗、净化、辅助,以救人济世为核心，技能以治疗和辅助为主，兼具一定的自我保护能力,4,3,5,2,3,5,2,2026-04-27,2026-04-27
1,百草诀,医修,黄阶下品,木灵根,神识,体魄,治疗、净化、辅助,以救人济世为核心，技能以治疗和辅助为主，兼具一定的自我保护能力,5,3,6,2,3,6,2,2026-04-27,2026-04-27
2,青锋剑谱,剑修,黄阶下品,金灵根,根骨,身法,高爆发、高暴击、远程物理攻击,以剑道为核心，强调高伤害和高暴击，技能以攻击性为主,1,2,1,1,1,1,2,2026-04-27,2026-04-27
2,青锋剑谱,剑修,黄阶下品,金灵根,根骨,身法,高爆发、高暴击、远程物理攻击,以剑道为核心，强调高伤害和高暴击，技能以攻击性为主,2,3,1,1,1,2,3,2026-04-27,2026-04-27
2,青锋剑谱,剑修,黄阶下品,金灵根,根骨,身法,高爆发、高暴击、远程物理攻击,以剑道为核心，强调高伤害和高暴击，技能以攻击性为主,3,4,2,2,1,2,4,2026-04-27,2026-04-27
2,青锋剑谱,剑修,黄阶下品,金灵根,根骨,身法,高爆发、高暴击、远程物理攻击,以剑道为核心，强调高伤害和高暴击，技能以攻击性为主,4,5,2,2,2,3,5,2026-04-27,2026-04-27
2,青锋剑谱,剑修,黄阶下品,金灵根,根骨,身法,高爆发、高暴击、远程物理攻击,以剑道为核心，强调高伤害和高暴击，技能以攻击性为主,5,6,2,2,2,3,6,2026-04-27,2026-04-27
3,阵图基础,阵法师,黄阶中品,土灵根,悟性,神识,伤害、控制、范围效果,以阵法为核心，强调范围控制和高伤效果,1,1,1,2,1,2,1,2026-04-27,2026-04-27
3,阵图基础,阵法师,黄阶中品,土灵根,悟性,神识,伤害、控制、范围效果,以阵法为核心，强调范围控制和高伤效果,2,1,2,3,2,3,1,2026-04-27,2026-04-27
3,阵图基础,阵法师,黄阶中品,土灵根,悟性,神识,伤害、控制、范围效果,以阵法为核心，强调范围控制和高伤效果,3,2,2,4,2,4,2,2026-04-27,2026-04-27
3,阵图基础,阵法师,黄阶中品,土灵根,悟性,神识,伤害、控制、范围效果,以阵法为核心，强调范围控制和高伤效果,4,2,3,5,3,5,2,2026-04-27,2026-04-27
3,阵图基础,阵法师,黄阶中品,土灵根,悟性,神识,伤害、控制、范围效果,以阵法为核心，强调范围控制和高伤效果,5,2,3,6,3,6,2,2026-04-27,2026-04-27
4,天雷诀,法修,黄阶中品,雷灵根,悟性,气感,元素攻击、范围伤害、控制,以雷系法术为核心，强调高伤害和范围攻击，兼具控制能力,1,1,1,2,2,1,1,2026-04-27,2026-04-27
4,天雷诀,法修,黄阶中品,雷灵根,悟性,气感,元素攻击、范围伤害、控制,以雷系法术为核心，强调高伤害和范围攻击，兼具控制能力,2,1,1,3,3,2,2,2026-04-27,2026-04-27
4,天雷诀,法修,黄阶中品,雷灵根,悟性,气感,元素攻击、范围伤害、控制,以雷系法术为核心，强调高伤害和范围攻击，兼具控制能力,3,2,2,4,4,2,2,2026-04-27,2026-04-27
4,天雷诀,法修,黄阶中品,雷灵根,悟性,气感,元素攻击、范围伤害、控制,以雷系法术为核心，强调高伤害和范围攻击，兼具控制能力,4,2,2,5,5,3,3,2026-04-27,2026-04-27
4,天雷诀,法修,黄阶中品,雷灵根,悟性,气感,元素攻击、范围伤害、控制,以雷系法术为核心，强调高伤害和范围攻击，兼具控制能力,5,2,2,6,6,3,3,2026-04-27,2026-04-27
5,不动山决,体修,黄阶中品,土灵根,体魄,根骨,高防御、高生命、反击,以防护和反击为核心，强调生存能力和持续作战,1,2,2,1,1,1,1,2026-04-27,2026-04-27
5,不动山决,体修,黄阶中品,土灵根,体魄,根骨,高防御、高生命、反击,以防护和反击为核心，强调生存能力和持续作战,2,3,3,1,1,1,2,2026-04-27,2026-04-27
5,不动山决,体修,黄阶中品,土灵根,体魄,根骨,高防御、高生命、反击,以防护和反击为核心，强调生存能力和持续作战,3,4,4,2,1,2,2,2026-04-27,2026-04-27
5,不动山决,体修,黄阶中品,土灵根,体魄,根骨,高防御、高生命、反击,以防护和反击为核心，强调生存能力和持续作战,4,5,5,2,2,2,2,2026-04-27,2026-04-27
5,不动山决,体修,黄阶中品,土灵根,体魄,根骨,高防御、高生命、反击,以防护和反击为核心，强调生存能力和持续作战,5,6,6,2,2,2,3,2026-04-27,2026-04-27
